Rank,Artist,Title,Year,SpotifyPlayCounts
1,Percy Faith,"Theme From ""A Summer Place""",1960,5001152
2,Jim Reeves,He'll Have To Go,1960,4377343
3,Everly Brothers,Cathy's Clown,1960,4180758
4,Johnny Preston,Running Bear,1960,1444980
5,Mark Dinning,Teen Angel,1960,436274
6,Brenda Lee,I'm Sorry,1960,3366175
7,Elvis Presley,It's Now Or Never,1960,11766868
8,Jimmy Jones,Handy Man,1960,564091
9,Elvis Presley,Stuck On You,1960,6695034
10,Chubby Checker,The Twist,1960,15600003
11,Connie Francis,Everybody's Somebody's Fool,1960,2306079
12,Bobby Rydell,Wild One,1960,211513
13,Brothers Four,Greenfields,1960,880380
14,Jack Scott,What In The World's Come Over You,1960,192575
15,Marty Robbins,El Paso,1960,8663683
16,Hollywood Argyles,Alley Oop,1960,218008
17,Connie Francis,My Heart Has A Mind Of Its Own,1960,365549
18,Brenda Lee,Sweet Nothin's,1960,4478743
19,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,3452011
20,Roy Orbison,Only The Lonely,1960,15956833
21,Dion and The Belmonts,Where Or When,1960,799005
22,Connie Stevens,Sixteen Reasons,1960,272674
23,Paul Anka,Puppy Love,1960,1666967
24,Frankie Avalon,Why,1960,378916
25,Ventures,"Walk, Don't Run",1960,4127116
26,Drifters,Save The Last Dance For Me,1960,11458687
27,Brook Benton and Dinah Washington,Baby (You've Got What It Takes),1960,5561544
28,Johnny Horton,Sink The Bismark,1960,1971530
29,Sam Cooke,Chain Gang,1960,21685399
30,Everly Brothers,Let It Be Me,1960,697716
31,Jimmy Jones,Good Timin',1960,616177
32,Bobby Darin,Beyond The Sea,1960,25328489
33,Jimmy Clanton,Go Jimmy Go,1960,37469
34,Jackie Wilson,Night,1960,81660
35,Jack Scott,Burning Bridges,1960,123257
36,Toni Fisher,The Big Hurt,1960,23972
37,Duane Eddy,Because They're Young,1960,293238
38,Conway Twitty,Lonely Blue Boy,1960,756676
39,Steve Lawrence,Pretty Blue Eyes,1960,201888
40,Freddie Cannon,Way Down Yonder In New Orleans,1960,190729
41,Anita Bryant,Paper Roses,1960,
42,Larry Verne,Mr. Custer,1960,154240
43,Brenda Lee,I Want To Be Wanted,1960,390100
44,Fendermen,Mule Skinner Blues,1960,257280
45,Johnny Preston,Cradle Of Love,1960,232921
46,Marv Johnson,You've Got What It Takes,1960,53493
47,Hank Locklin,"Please Help Me, I'm Falling",1960,1127831
48,Ron Holden,Love You So,1960,27102
49,Hank Ballard and The Midnighters,Finger Poppin' Time,1960,354730
50,Platters,Harbor Lights,1960,787854
51,Billy Bland,Let The Little Girl Dance,1960,11473647
52,Jeanne Black,He'll Have To Stay,1960,45318
53,Ferrante and Teicher,Theme From The Apartment,1960,131144
54,Bobby Rydell,Volare,1960,221099
55,Jimmy Charles,A Million To One,1960,57306
56,Andy Williams,The Village Of St. Bernadette,1960,83052
57,The Browns,The Old Lamplighter,1960,62470
58,Bill Black's Combo,White Silver Sands,1960,30065
59,Bobby Vee,Devil Or Angel,1960,717957
60,The Four Preps,Down By The Station,1960,23715
61,The Little Dippers,Forever,1960,40043
62,The Safaris,Image Of A Girl,1960,83982
63,Brook Benton,Kiddio,1960,213883
64,Donnie Brooks,Mission Bell,1960,80369
65,Marv Johnson,I Love The Way You Love,1960,27503
66,Paul Anka,It's Time To Cry,1960,109090
67,Ray Peterson,Tell Laura I Love Her,1960,1317706
68,Connie Francis,Mama,1960,279627
69,Steve Lawrence,Footsteps,1960,152385
70,The Everly Brothers,So Sad,1960,804269
71,Brenda Lee,That's All You Gotta Do,1960,395052
72,Fats Domino,Walking To New Orleans,1960,1725415
73,Connie Francis,Among My Souvenirs,1960,1725415
74,Bobby Rydell,Swingin' School,1960,73006
75,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,881349
76,Neil Sedaka,Stairway To Heaven,1960,780214
77,Paul Anka,My Home Town,1960,289664
78,Ray Charles,Georgia On My Mind,1960,203180
79,Skip and Flip,Cherry Pie,1960,21703
80,Sam Cooke,Wonderful World,1960,93708300
81,Spencer Ross,Tracy's Theme,1960,
82,Lloyd Price,Lady Luck,1960,447560
83,The Crests,Step By Step,1960,160505
84,Paul Evans,Happy-Go-Lucky Me,1960,315970
85,Ricky Nelson,Young Emotions,1960,197454
86,Johnny Burnette,Dreamin',1960,9887
87,Johnny Tillotson,Poetry In Motion,1960,2176650
88,Annette Funicello,O Dio Mio,1960,5450
89,Joe Jones,You Talk Too Much,1960,150648
90,Johnny and The Hurricanes,Beatnik Fly,1960,6058
91,The Everly Brothers,When Will I Be Loved,1960,508098
92,Bob Luman,Let's Think About Livin',1960,330483
93,Guy Mitchell,Heartaches By The Number,1960,243434
94,Anita Bryant,In My Little Corner Of The World,1960,15789
95,Jackie Wilson,Doggin' Around,1960,449692
96,Bobby Rydell,Little Bitty Girl,1960,98402
97,Barrett Strong,Money,1960,7941207
98,Maurice Williams and the Zodiacs,Stay,1960,17445583
99,Charlie Rich,Lonely Weekends,1960,306801
100,Larry Hall,Sandy,1960,13843
1,Bobby Lewis,Tossin' And Turnin',1961,185664
2,Patsy Cline,I Fall To Pieces,1961,8098285
3,The Highwaymen,Michael,1961,345821
4,Roy Orbison,Crying,1961,10605581
5,Del Shannon,Runaway,1961,14372962
6,The Jive Five,My True Story,1961,549734
7,Chubby Checker,Pony Time,1961,395079
8,The String-A-Longs,Wheels,1961,254594
9,Dee Clark,Raindrops,1961,36195
10,Joe Dowell,Wooden Heart,1961,76204
11,Lawrence Welk,Calcutta,1961,220024
12,Bobby Vee,Take Good Care Of My Baby,1961,8915018
13,Roy Orbison,Running Scared,1961,2391967
14,The Shirelles,Dedicated To The One I Love,1961,1401322
15,The Mar-Keys,Last Night,1961,1118216
16,The Shirelles,Will You Love Me Tomorrow,1961,10966476
17,Ferrante and Teicher,Exodus,1961,338866
18,Connie Francis,Where The Boys Are,1961,1961350
19,Ray Charles,Hit The Road Jack,1961,34945564
20,Sue Thompson,Sad Movies (Make Me Cry),1961,414305
21,Ernie K-Doe,Mother-In-Law,1961,442939
22,The Dovells,Bristol Stomp,1961,310096
23,Ricky Nelson,Travelin' Man,1961,3426713
24,The Miracles,Shop Around,1961,8287327
25,Brook Benton,The Boll Weevil Song,1961,48225
26,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,213849
27,Dick and Deedee,The Mountain's High,1961,17863
28,Marty Robbins,Don't Worry,1961,321791
29,Floyd Cramer,On The Rebound,1961,660129
30,Steve Lawrence,Portrait Of My Love,1961,61982
31,Gary U.S. Bonds,Quarter To Three,1961,202618
32,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961,664163
33,Neil Sedaka,Calendar Girl,1961,6665463
34,Chris Kenner,I Like It Like That,1961,739901
35,Jorgen Ingmann,Apache,1961,148229
36,Linda Scott,Don't Bet Money Honey,1961,1728
37,Johnny Tillotson,Without You,1961,146415
38,Ferlin Husky,Wings Of A Dove,1961,259282
39,Elvis Presley,Little Sister,1961,3356388
40,Marcels,Blue Moon,1961,6629781
41,Shep and The Limelites,Daddy's Home,1961,45157
42,Troy Shondell,This Time,1961,28820
43,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381
44,Kokomo,Asia Minor,1961,38898
45,Faron Young,Hello Walls,1961,1490230
46,Dion,Runaround Sue,1961,27540370
47,Arthur Lyman,Yellow Bird,1961,261189
48,Timi Yuro,Hurt,1961,1033560
49,Ricky Nelson,Hello Mary Lou,1961,5626492
50,The Capris,There's A Moon Out Tonight,1961,977093
51,Elvis Presley,Surrender,1961,4599587
52,The Paris Sisters,I Love How You Love Me,1961,368245
53,Lee Dorsey,Ya Ya,1961,1445791
54,Gary U.S. Bonds,School Is Out,1961,29725
55,Bob Moore,Mexico,1961,44613
56,Ral Donner,You Don't Know What You've Got (Until You Lose It),1961,45016
57,The Everly Brothers,Walk Right Back,1961,2192314
58,The Lettermen,The Way You Look Tonight,1961,265415
59,Pat Boone,Moody River,1961,376361
60,Ray Charles,One Mint Julep,1961,333918
61,Adam Wade,Take Good Care Of Her,1961,16354
62,Carla Thomas,Gee Whiz (Look At His Eyes),1961,833523
63,Ben E. King,Stand By Me,1961,59842653
64,Ben E. King,Spanish Harlem,1961,4059124
65,Ike and Tina Turner,It's Gonna Work Out Fine,1961,246104
66,The Echoes,Baby Blue,1961,29769
67,Buzz Clifford,Baby Sittin' Boogie,1961,91330
68,Del Shannon,Hats Off To Larry,1961,147026
69,Little Caesar and The Romans,Those Oldies But Goodies,1961,286453
70,Chubby Checker,The Fly,1961,80384
71,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517
72,Bert Kaempfert,Wonderland By Night,1961,350403
73,Tony Orlando,Bless You,1961,73268
74,Linda Scott,I've Told Every Little Star,1961,38588
75,Bobby Lewis,One Track Mind,1961,10065
76,Rosie and The Originals,Angel Baby,1961,3204938
77,Curtis Lee,Pretty Little Angel Eyes,1961,847297
78,Brook Benton,Think Twice,1961,62191
79,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),1961,203528
80,Connie Francis,Breakin' In A Brand New Broken Heart,1961,184122
81,The Shirelles,Mama Said,1961,18984141
82,Fats Domino,Let The Four Winds Blow,1961,346731
83,Adam Wade,The Writing On The Wall,1961,4696
84,Matt Monro,My Kind Of Girl,1961,307716
85,Paul Anka,"Tonight My Love, Tonight",1961,339702
86,Jimmy Dean,Big Bad John,1961,2739818
87,Bobby Rydell,Good Time Baby,1961,58354
88,Floyd Cramer,San Antonio Rose,1961,312830
89,Bobby Vee,Rubber Ball,1961,1688587
90,Ray Peterson,Missing You,1961,36663
91,Brenda Lee,Dum Dum,1961,320128
92,Eddie Hodges,I'm Gonna Knock On Your Door,1961,568081
93,Brenda Lee,You Can Depend On Me,1961,165193
94,Chubby Checker,Let's Twist Again,1961,13359395
95,Dave Brubeck,Take Five,1961,49478497
96,Elvis Presley,Are You Lonesome Tonight?,1961,11573507
97,Don Gibson,Sea Of Heartbreak,1961,1088344
98,The Four Preps,More Money For You And Me,1961,7549
99,Bobby Darin,You Must Have Been A Beautiful Baby,1961,318504
100,The Drifters,Please Stay,1961,374740
1,Acker Bilk,Stranger On The Shore,1962,921367
2,Ray Charles,I Can't Stop Loving You,1962,
3,Dee Dee Sharp,Mashed Potato Time,1962,771095
4,Bobby Vinton,Roses Are Red (My Love),1962,2365412
5,David Rose,The Stripper,1962,313233
6,Shelley Fabares,Johnny Angel,1962,472535
7,Little Eva,The Loco-Motion,1962,9076546
8,The Sensations,Let Me In,1962,47535
9,Chubby Checker,The Twist,1962,15615387
10,The Shirelles,Soldier Boy,1962,623778
11,Bruce Channel,Hey! Baby,1962,9727465
12,Dion,The Wanderer,1962,30747630
13,Gene Chandler,Duke Of Earl,1962,1890074
14,Freddy Cannon,Palisades Park,1962,548294
15,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083
16,Claude King,Wolverton Mountain,1962,453022
17,Chubby Checker,Slow Twistin',1962,284087
18,Johnny Tillotson,It Keeps Right On a-Hurtin',1962,245127
19,Mary Wells,The One Who Really Loves You,1962,1749941
20,Elvis Presley,Good Luck Charm,1962,5263250
21,Kenny Ball,Midnight In Moscow,1962,452268
22,Tommy Roe,Sheila,1962,713267
23,Sam Cooke,Twistin' The Night Away,1962,12685198
24,The Orlons,The Wah-Watusi,1962,401222
25,Joey Dee and The Starliters,Peppermint Twist,1962,443963
26,Brenda Lee,Break It To Me Gently,1962,1564747
27,The Marvelettes,Playboy,1962,8011077
28,Nat King Cole,Ramblin' Rose,1962,532894
29,Brian Hyland,Sealed With A Kiss,1962,3465190
30,Jay and The Americans,She Cried,1962,264791
31,Connie Francis,Don't Break The Heart That Loves You,1962,259505
32,Gary U.S. Bonds,Dear Lady Twist,1962,24726
33,Sue Thompson,Norman,1962,206139
34,Ketty Lester,Love Letters,1962,156761
35,Claudine Clark,Party Lights,1962,252381
36,The Highwaymen,Cotton Fields,1962,59450
37,Bent Fabric,Alley Cat,1962,145527
38,The Isley Brothers,Twist And Shout,1962,16962564
39,Richard Chamberlain,Theme From Dr. Kildare,1962,26892
40,Ace Cannon,Tuff,1962,33272
