Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,GenreClean,Tar-Pre
51,7.4645509,Stan Getz and Astrud Gilberto,The Girl from Ipanema,1964,31119332,1553,1311,30,"bossa nova, jazz","bossa nova, jazz",5.021615391
27,11.35794904,Dinah Washington and Brook Benton,Baby (You've Got What It Takes),1960,5561544,1481,109712,30,r&b,r&b,3.834595601
95,4.951108236,Dave Brubeck,Take Five,1961,49478497,3623,46769,61,west coast cool jazz,west coast cool jazz,3.607561255
99,4.818155049,The Kingsmen,Louie Louie,1964,28476446,2634,10771,51,garage rock,garage rock,3.447217976
98,4.850547815,Maurice Williams and the Zodiacs,Stay,1960,17445583,790,6296,49,doo-wop,doo-wop,3.307431284
97,4.883493965,Billy J. Kramer and The Dakotas,Bad to Me,1964,1302962,1328,444,9,"pop, beat","pop, beat",3.221352846
10,21.87761624,The Temptations,My Girl,1965,150297031,9521,663199,73,"soul, r&b","soul, r&b",3.221272266
80,5.545754095,Sam Cooke,Wonderful World,1960,93708300,2898,471335,74,"rhythm and blues, soul","r&b, soul",3.202694343
27,11.35794904,Buffalo Springfield,For What It's Worth,1967,92808661,2208,144825,65,"folk rock, country rock, psychedelic rock","folk rock, country rock, psychedelic rock",3.185757148
21,13.40711287,The Righteous Brothers,Unchained Melody,1965,64041107,2658,86133,64,blue-eyed soul,blue-eyed soul,3.12084114
63,6.49284802,Ben E. King,Stand By Me,1961,59842653,1450,126058,70,"rhythm and blues, soul","r&b, soul",3.106138218
8,25.34898699,The Turtles,Happy Together,1967,76786713,2031,109592,63,"sunshine pop, folk rock, psychedelic rock, psychedelic pop","sunshine pop, folk rock, psychedelic rock, psychedelic pop",3.087429031
10,21.87761624,The Mamas and The Papas,California Dreamin',1966,86019253,5544,243320,67,"sunshine pop, folk rock","sunshine pop, folk rock",3.012763113
45,8.107365283,The Ronettes,Be My Baby,1963,56249804,4527,59041,69,pop,pop,2.950462331
7,27.68441135,Mary Wells,My Guy,1964,35289317,2824,61278,59,"soul, r&b, pop","soul, r&b, pop",2.939005088
11,20.54380234,Bruce Channel,Hey! Baby,1962,9727465,589,2853,47,pop,pop,2.920773589
87,5.247075258,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough,1967,201057355,365,1503529,77,"soul, rhythm and blues, pop","soul, r&b, pop",2.900401564
48,7.769280177,Scott Mckenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),1967,33363496,746,16618,56,psychedelic pop,psychedelic pop,2.874577782
2,63.2878297,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),1965,67571740,3598,221819,68,"soul, pop","soul, pop",2.853092129
96,4.917008807,Big Brother and The Holding Company,Piece Of My Heart,1968,48954611,3225,46610,59,"psychedelic rock, blues rock","psychedelic rock, blues rock",2.841824059
10,21.87761624,Chubby Checker,The Twist,1960,15600003,1911,53283,56,rock and roll,rock and roll,2.783289896
54,7.188199443,Simon and Garfunkel,The Sound of Silence,1966,140952268,5562,958297,77,folk rock,folk rock,2.758886288
46,7.990608098,Millie Small,My Boy Lollipop,1964,5202609,833,1839,37,"pop, ska","pop, ska",2.709775583
5,34.56844127,The Monkees,I'm A Believer,1967,62659630,18620,203117,66,pop rock,pop rock,2.704690815
17,15.41358678,Martha and The Vandellas,Dancing in the Street,1964,34044681,2807,77397,62,"rhythm and blues, soul","r&b, soul",2.703290167
1,100,The Archies,"Sugar, Sugar",1969,50009972,825,22468,59,pop rock,pop rock,2.688953314
13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,857587,75,soul,soul,2.662493806
5,34.56844127,Del Shannon,Runaway,1961,14372962,2195,40589,53,rock and roll,rock and roll,2.661728092
7,27.68441135,Little Eva,The Loco-Motion,1962,9076546,924,7873,49,"pop, rhythm and blues","pop, r&b",2.639254034
8,25.34898699,The Supremes,You Can't Hurry Love,1966,77355864,5042,388007,70,"pop, soul, r&b","pop, soul, r&b",2.62082909
4,40.05349388,Roy Orbison,"Oh, Pretty Woman",1964,61232906,8655,303004,71,rock,rock,2.602717281
16,16.04282372,Sonny and Cher,I Got You Babe,1965,21819443,2377,46387,56,pop,pop,2.593937196
68,6.173680038,The Crystals,Then He Kissed Me,1963,18884086,1856,27866,57,"pop, rock","pop, rock",2.590181482
9,23.45308318,Chubby Checker,The Twist,1962,15615387,1911,53283,56,rock and roll,rock and roll,2.544491994
17,15.41358678,Arthur Conley,Sweet Soul Music,1967,14474435,777,8300,49,"soul, rhythm and blues","soul, r&b",2.541891188
53,7.277428145,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967,47272819,4544,95994,64,chicago soul,chicago soul,2.540818613
47,7.877989793,Major Lance,"Um, Um, Um, Um, Um, Um",1964,8939235,1416,5592,47,soul,soul,2.539983667
4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,771318,74,"rhythm and blues, soul","r&b, soul",2.525983226
3,48.42838339,Skeeter Davis,The End Of The World,1963,9808917,1796,14214,49,country,country,2.520629613
94,4.985808764,Chubby Checker,Let's Twist Again,1961,13359395,1911,53283,56,rock and roll,rock and roll,2.508346887
57,6.936215781,Elvis Presley,Can't Help Falling In Love,1962,105024049,19546,1736017,83,pop,pop,2.507906109
31,10.36815025,Steppenwolf,Born To Be Wild,1968,75422669,2515,244737,68,"hard rock, proto-metal","hard rock, proto-metal",2.497551624
21,13.40711287,The Rolling Stones,"Paint It, Black",1966,170214002,13624,3253295,84,"psychedelic rock, raga rock","psychedelic rock, raga rock",2.490097634
64,6.425711417,Tom Jones,It's Not Unusual,1965,37632492,4563,193788,65,pop,pop,2.482898024
98,4.850547815,The Chiffons,One Fine Day,1963,12190738,993,17916,52,pop,pop,2.469481028
10,21.87761624,Frankie Valli,Can't Take My Eyes Off You,1967,34519703,2457,40393,63,pop rock,pop rock,2.44902922
